id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
13913,Holiday London DB Room Let-on going,54730,Alina,,Islington,51.56861,1,Private room,50,1,30,15-07-2022,0.2,2,343,9
15400,Bright Chelsea  Apartment. Chelsea!,60302,Philippa,,Kensington and Chelsea,51.4878,1.2,Entire home/apt,75,3,89,16-03-2020,0.57,1,70,0
17402,Superb 3-Bed/2 Bath & Wifi: Trendy W1,67564,Liz,,Westminster,51.52195,2.6,Entire home/apt,379,4,51,06-09-2022,0.36,5,249,8
24328,"Battersea live/work artist house, garden communal",41759,Joe,,Wandsworth,51.47072,4.9,Entire home/apt,195,3,96,19-07-2022,0.67,1,116,3
25123,Clean big Room in London (Room 1),103583,Grace,,Barnet,51.57438,35.77,Private room,29,10,129,15-03-2020,0.85,3,0,0
31361,"Restful Room, Friendly House, East London",134606,Cryn,,Newham,51.53403,23.77,Private room,34,1,122,15-08-2022,0.82,2,0,6
33332,Beautiful Ensuite Richmond-upon-Thames borough,144444,Chi-Chi,,Richmond upon Thames,51.4641,33.526,Private room,95,2,20,01-08-2022,0.14,2,363,13
36299,Kew Gardens 3BR house in cul-de-sac,155938,Geert,,Richmond upon Thames,51.48085,39.80771429,Entire home/apt,245,3,96,02-09-2022,0.66,1,224,14
36660,You are GUARANTEED to love this,157884,Agri & Roger,,Haringey,51.58478,46.08942857,Private room,72,2,575,10-09-2022,3.94,2,2,37
38605,SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST,165579,Elisa & Dom,,Hammersmith and Fulham,51.50681,52.37114286,Private room,62,2,379,05-09-2022,2.62,2,4,13
38610,CHARMING FAMILY HOME,165579,Elisa & Dom,,Hammersmith and Fulham,51.50701,58.65285714,Entire home/apt,200,14,37,02-08-2022,0.3,2,259,1
38950,Room 1 Large Double Bedroom - front ground floor,167107,Paul,,Haringey,51.58684,64.93457143,Private room,45,1,1,12-12-2021,0.11,3,68,1
39387,Stylish bedsit in Notting Hill ish flat.,168920,Alec,,Westminster,51.52605,71.21628571,Private room,42,5,10,03-11-2019,0.1,1,0,0
41311,Clean big Room in London (Room 2),103583,Grace,,Barnet,51.574,77.498,Private room,25,10,84,18-01-2020,0.58,3,0,0
41445,2 Double bed apartment in quiet area North London,180838,Sean,,Barnet,51.61492,83.77971429,Entire home/apt,550,4,21,19-09-2019,0.17,1,358,0
41509,Room in maisonette in chiswick,181028,Peter,,Hounslow,51.49351,90.06142857,Private room,150,1,71,23-12-2019,0.52,1,128,0
41712,Room with a view  zone 1  Central Bankside,182322,Nina,,Southwark,51.50191,96.34314286,Private room,95,2,106,01-08-2022,0.75,1,345,22
41870,Room in relaxed family house!,182993,Bimpe,,Waltham Forest,51.5584,102.6248571,Private room,37,2,2,02-07-2011,0.01,1,0,0
42010,You Will Save Money Here,157884,Agri & Roger,,Barnet,51.5859,108.9065714,Private room,60,4,527,17-08-2022,3.62,2,252,17
43129,Quiet Comfortable Room in Fulham,188138,Sylvan,,Hammersmith and Fulham,51.48164,115.1882857,Private room,60,2,215,10-08-2022,1.93,3,351,17
43202,Beautiful 1 bed apt in Queens Park,188559,Calypso,,Brent,51.53031,121.47,Entire home/apt,140,4,122,19-07-2022,0.99,1,48,12
43742,Double Room Lovely Bohemian Garden Flat.,191353,Mark,,Islington,51.55143,127.7517143,Private room,88,1,1,19-06-2022,0.35,1,324,1
45163,Room with a garden,199530,Deb,,Camden,51.55237,134.0334286,Private room,45,2,2,01-11-2021,0.02,1,160,1
45168,Best Part of Town -Home from Home!,199549,Lina,,Westminster,51.51812,140.3151429,Entire home/apt,125,3,102,03-01-2020,0.7,1,0,0
46992,"Beautiful, Luxurious Art Deco  +private bathroom",211291,Alix,,Hackney,51.55165,146.5968571,Private room,58,3,225,13-08-2022,1.54,1,0,8
47192,Single Room in zone 1,212734,"Let'S Dance, Put On Your Red Shoes",,Camden,51.52958,152.8785714,Private room,48,2,419,04-09-2022,2.88,1,318,44
47687,Cosy Double studio in Zone 2 Hammersmith (6),216660,Boris,,Hammersmith and Fulham,51.4934,159.1602857,Entire home/apt,55,2,85,27-08-2022,0.59,11,150,18
49970,Beautiful Small Studio Hammersmith,216660,Boris,,Hammersmith and Fulham,51.49462,165.442,Hotel room,72,1,110,07-08-2022,0.77,11,229,20
51830,Fantastic Period Flat Notting Hill,239020,Sarah,,Westminster,51.51757,171.7237143,Entire home/apt,121,2,121,01-01-2020,0.85,1,0,0
55402,"Modern 2 Bed 2 Bath, UK, Croydon",57861,Beth,,Croydon,51.37487,178.0054286,Entire home/apt,56,14,2,09-11-2018,0.04,1,0,0
55706,Amazing 2 bed 2 bath flat in central London,211108,Simon,,Kensington and Chelsea,51.49506,184.2871429,Entire home/apt,297,28,91,02-02-2020,0.63,3,283,0
56229,Cosy Double studio in Zone 2 Hammersmith (1),216660,Boris,,Hammersmith and Fulham,51.49547,190.5688571,Entire home/apt,56,5,57,26-07-2022,0.39,11,266,12
62747,Beautiful huge double room in artist’s garden flat,289179,Jacinta,,Tower Hamlets,51.52315,196.8505714,Private room,43,2,100,08-03-2020,2.12,2,0,0
62970,Cheshire 1 - 3 Bed with Garden off Brick lane,336059,Thomas,,Tower Hamlets,51.52435,203.1322857,Entire home/apt,380,1,158,17-08-2022,1.11,4,68,2
63948,Cosy Double studio in Zone 2 Hammersmith (4),216660,Boris,,Hammersmith and Fulham,51.49547,209.414,Entire home/apt,62,3,50,27-08-2022,0.37,11,214,18
66772,Cosy Double studio in Zone 2 Hammersmith (3),216660,Boris,,Hammersmith and Fulham,51.4937,215.6957143,Private room,55,3,90,22-08-2022,0.63,11,271,33
69198,Spacious single room in quiet flat,345886,Alda,,Haringey,51.59031,221.9774286,Private room,53,3,13,24-05-2022,0.1,1,280,2
70482,Fabulous Hackney Flat  Victoria Park London fields,357352,Michael,,Hackney,51.54096,228.2591429,Entire home/apt,190,5,2,31-08-2022,0.78,1,362,2
71875,"Bright Very Central 1-Bed in W1. King Bed, Wifi",67564,Liz,,Camden,51.52216,234.5408571,Entire home/apt,190,3,74,25-11-2019,0.57,5,187,0
72913,Dbl en suite @ Oval tube Sth London,379315,Matthew,,Lambeth,51.48128,240.8225714,Private room,48,2,157,03-03-2020,1.12,1,0,0
73125,Bright + Spacious In Balham + fibre broadband,380897,Anna,,Lambeth,51.44563,247.1042857,Private room,77,2,28,16-08-2022,0.2,1,281,14
73431,Two bedroom luxury Flat in Brixton with city view!,383525,Emi,,Lambeth,51.46161,253.386,Entire home/apt,120,3,77,05-09-2022,0.7,1,12,9
